,Quartet.Num,330,329,328,327,326,325,324,323,322,321,320,319,318,317,316,315,314,313,312,311,310,309,308,307,306,305,304,303,302,301,300,299,298,297,296,295,294,293,292,291,290,289,288,287,286,285,284,283,282,281,280,279,278,277,276,275,274,273,272,271,270,269,268,267,266,265,264,263,262,261,260,259,258,257,256,255,254,253,252,251,250,249,248,247,246,245,244,243,242,241,240,239,238,237,236,235,234,233,232,231,230,229,228,227,226,225,224,223,222,221,220
186D,3,3.70976069,3.600745352,3.90880304,3.209585808,2.798432672,2.454520554,2.791730909,2.999597246,2.99468262,3.286209294,3.85798134,4.451534115,5.55687816,6.312278502,6.839372131,7.509436695,8.638907086,9.389281106,10.40962446,11.27750272,13.66288342,15.90428793,19.08360411,22.51736387,27.88558742,32.3041712,37.61956251,43.48159426,49.80079792,55.85282464,61.45337595,66.47958621,71.32317344,74.27652852,75.95721889,77.07406763,77.33108022,77.05999393,76.2900731,74.80250519,73.58568849,71.67490428,68.68256728,64.71244311,59.63999069,54.50208439,49.24086565,43.34454322,36.68086896,32.32237765,28.60725555,25.7518579,24.28629411,24.15884893,24.8767194,27.01514015,28.42574948,31.82588874,35.73111751,39.77730668,44.22794723,49.01345251,53.8636298,58.07691626,60.57723219,62.92943917,64.77588646,66.34532757,67.4650804,67.11837588,66.41279198,65.94780135,65.01490483,61.95662248,59.07403801,56.77904174,53.22532042,49.34150379,45.34255087,40.57643602,36.54287967,31.86661312,27.02242273,23.56452545,19.42433289,15.22906301,12.72093952,9.741034286,7.630559885,4.723335267,1.949799643,0.17841209,-2.026579503,-3.651522373,-6.090618821,-7.102114734,-6.956027479,-6.038435546,-4.743224869,-2.644694238,0.200304515,2.927609146,6.776447048,9.604546189,14.3440298,19.89883555,25.13842323,30.47185345,34.65775204,40.19622269,46.39201339
201D,4,-0.35818,-0.2682,-0.17066,-0.06434,-0.02744,0.05157,0.18286,0.3116,0.37802,0.42839,0.56681,0.82641,1.12186,1.73374,2.51069,3.37928,4.51135,5.86867,7.97894,10.5305,13.4433,16.75,20.9816,25.8226,31.1235,37.0077,43.1306,49.5691,55.8735,61.933,67.5399,72.3936,76.4232,79.4735,81.7007,83.259,84.2108,84.091,83.802,82.8238,81.1764,78.9624,76.2583,72.6894,68.8959,64.24,59.0898,54.0772,48.5764,42.9699,36.8618,30.8842,24.9398,18.6116,12.1397,4.9984,-2.58422,-9.85622,-17.2262,-25.3145,-32.9503,-40.5541,-47.4808,-52.9837,-57.4787,-60.9404,-62.57,-62.5901,-60.6208,-57.1623,-52.762,-47.3362,-40.8267,-34.1693,-27.0565,-19.6856,-12.2459,-5.00979,1.97811,8.09304,13.4671,18.0221,21.4604,23.4655,24.496,24.1915,22.8594,21.1358,19.2404,16.6812,13.9294,11.2967,8.95698,7.49392,6.1419,5.05601,4.55852,4.68592,5.76722,7.55835,9.69128,12.6333,16.1046,19.4784,23.3566,27.3045,31.2142,34.9921,38.6754,41.9507,45.5059
156D,4,-2.30567,-2.50304,-2.41542,-2.42389,-2.244,-1.84283,-1.71019,-1.44812,-1.60094,-1.23627,-0.67214,0.01484,0.48846,1.37756,2.40478,4.16524,6.158,8.54074,11.9822,16.1131,21.2751,27.5223,35.6705,45.3194,56.6134,69.1442,83.3078,98.6059,114.049,129.256,143.304,155.368,164.286,169.784,172.274,172.713,170.332,166.363,160.087,153.198,145.103,135.537,124.518,111.861,98.0965,83.6305,68.2259,52.4759,36.5327,20.4087,4.50294,-11.4892,-27.1756,-43.4454,-60.3321,-76.9005,-94.1036,-111.144,-128.436,-145.694,-162.55,-178.896,-194.635,-209.126,-220.965,-230.042,-235.01,-235.732,-232.138,-222.725,-209.658,-192.995,-173.903,-152.612,-129.576,-104.328,-76.9397,-48.4659,-20.5373,6.4613,31.1139,52.5963,69.7045,83.1598,93.7671,101.171,105.648,107.421,106.009,102.933,97.7462,91.815,85.1805,77.7834,70.5472,64.0825,58.9411,56.2458,54.3652,53.856,54.6618,56.2755,58.7394,61.5151,64.7908,69.0816,72.3819,76.4416,79.9407,82.4384,84.164
1S45,4,-0.88068,-0.56817,-0.46166,1.22431,-0.89205,-0.43151,-0.0322,-0.27914,0.66355,-0.40389,-0.20147,0.1759,-0.45094,0.56593,0.24583,0.08114,0.39294,0.18245,-0.51057,-0.10189,-0.07702,0.97052,0.85352,2.09878,2.75005,4.45028,3.9951,3.74797,4.22075,3.72573,3.68044,2.21328,0.75608,-0.16244,-2.87487,-3.16671,-3.50709,-2.54086,-0.84155,0.82383,3.20946,6.74546,11.0379,14.9252,20.5811,25.8338,30.999,39.2206,49.9827,59.9588,73.5762,88.7992,106.058,121.968,139.289,158.575,176.963,195.245,218.082,236.536,256.275,276.422,296.52,314.999,332.12,342.421,349.759,350.715,342.507,330.468,314.587,294.281,267.635,242.234,210.568,175.811,141.905,103.945,65.2581,33.0744,-2.04539,-28.7788,-51.6343,-67.1242,-81.5489,-92.9709,-99.4098,-102.021,-101.028,-99.3757,-92.7363,-87.2456,-79.3521,-72.9551,-62.1046,-53.9032,-46.8732,-39.8856,-31.7583,-23.7744,-22.378,-15.4733,-10.9579,-6.02151,-4.69618,-0.43073,1.90969,13.713,21.2168,24.1186,34.485
2AVH,4,0.21086,0.18612,0.17203,0.06039,0.01904,0.0662,0.07583,0.10958,0.12427,0.19797,0.40926,0.80024,1.0927,1.62794,2.40949,3.33166,4.5766,6.28078,8.57582,11.7327,15.9472,21.3809,28.1508,36.7979,47.2985,59.5539,73.5306,88.823,104.625,120.418,135.531,148.781,159.774,168.08,173.14,175.35,175.11,172.231,167.566,161.222,153.642,144.998,135.702,125.324,114.406,102.777,90.8549,78.9001,67.3361,56.2554,45.8203,36.0374,26.9134,18.2223,9.88955,1.4999,-6.62424,-14.989,-23.8812,-32.7896,-42.0864,-51.622,-60.8045,-69.8842,-77.7412,-84.0935,-88.4263,-90.6179,-90.5586,-87.5718,-82.3361,-74.7429,-65.4196,-54.7116,-42.3478,-28.4334,-13.7156,0.90572,15.3735,29.037,41.8927,52.9742,61.6975,68.1998,72.6056,74.786,74.7763,72.791,69.2517,64.2446,58.2631,51.3712,44.5613,37.8578,31.3431,25.4842,20.6641,16.0513,13.137,11.0362,9.6133,9.54887,10.2552,11.5719,13.7723,16.5843,19.3395,22.4869,24.9776,27.1391,28.7091
2GKU,3,0.99803,1.06772,0.8843,0.85248,1.01217,1.09264,1.04662,0.77117,0.67674,0.75194,0.84649,0.81078,0.72395,0.95561,1.24867,1.42951,1.80815,2.32622,3.18062,4.46315,6.11503,8.17412,11.33173,15.49234,20.76801,27.2688,34.90316,43.88206,54.04547,64.60884,75.46277,86.37242,96.92675,106.72548,115.4804,123.32574,130.05417,135.94132,140.74811,144.84784,147.85643,149.66542,150.45157,150.131,148.35736,145.52913,141.30177,136.42847,130.85231,124.82854,118.29186,112.64019,107.54099,103.44126,99.83407,96.47195,94.21177,92.60231,91.09892,89.991,88.63201,87.5157,86.48507,84.56343,81.98267,78.32815,73.24692,67.20698,59.86545,52.07967,44.90316,37.80461,30.75866,23.88906,17.90808,13.12915,8.47756,4.43133,-0.03338,-4.03921,-6.89243,-8.76415,-11.51197,-14.68192,-18.01126,-20.72516,-23.96984,-27.00826,-30.7592,-32.59342,-34.05037,-35.06662,-35.14212,-33.82807,-33.65957,-32.32246,-30.37344,-28.21553,-24.28292,-19.60987,-14.26536,-7.99819,-0.19642,8.79022,18.82006,27.62448,36.67254,45.62801,55.9559,65.3914,73.65198
2HY9,3,0.77087,0.65176,0.63035,0.37978,0.24211,0.38105,0.35927,0.55953,0.61942,0.52606,0.57607,0.60721,0.68125,0.86534,0.8744,1.07668,1.60529,2.14603,2.97738,4.17489,5.53568,7.9015,11.07331,15.10775,20.06205,25.89875,32.85923,40.6539,48.76764,56.89785,65.1313,73.34835,80.72641,87.61607,93.51378,98.4817,103.08878,106.76456,109.6962,111.82905,113.22974,114.22841,114.9733,114.65887,113.50149,111.55954,109.36006,106.6298,103.44737,100.21703,97.74804,95.96855,95.41082,95.35467,96.2957,97.82066,99.58818,101.35046,103.55667,105.24558,106.35206,106.79825,105.70899,104.4146,101.02555,96.01646,89.63662,82.49618,74.02758,65.04236,55.77348,46.90557,38.6427,30.16917,22.08021,15.17363,7.96955,1.27979,-5.38603,-11.60626,-16.33229,-20.10172,-23.14716,-25.57122,-27.97066,-29.50843,-30.40761,-31.1635,-31.64113,-31.31427,-30.65563,-29.22193,-27.68783,-25.38392,-23.06937,-20.31651,-16.21797,-12.24678,-7.37746,-1.68704,4.45039,10.85298,18.12159,25.74139,34.4333,43.10335,51.19725,61.06578,71.8028,82.54109,91.0972
2JSM,3,2.55956,2.37444,2.56134,2.55173,2.56952,2.7044,2.64936,2.29646,2.03408,1.75489,1.56026,1.64641,1.87048,2.33772,2.88045,3.33044,3.70912,4.29169,4.9332,5.80304,7.21588,9.0154,11.87869,15.61698,20.24502,25.44914,31.68946,39.33951,47.80302,56.39902,65.31769,74.62001,83.46168,91.36415,98.31009,104.26197,110.33922,115.29438,119.50978,123.53046,126.99453,129.71796,131.59137,132.58454,133.18915,132.86817,131.65272,130.22921,128.39759,126.09562,124.34668,122.2341,120.72256,119.79519,119.35329,119.43776,119.86455,119.50267,118.43926,117.16335,115.105,112.11483,108.8677,104.65319,100.36399,95.94054,89.76726,83.70219,76.32796,68.56179,60.82861,53.19813,45.20239,38.54142,32.44523,27.0784,20.0543,13.79514,8.28356,3.31995,-1.64232,-6.55161,-10.94021,-14.43976,-18.53219,-22.89794,-27.40382,-30.76156,-33.86963,-34.99998,-35.29207,-34.71982,-33.86393,-33.35295,-33.32441,-31.06884,-29.19597,-26.48072,-23.36003,-18.71162,-12.44623,-5.11049,1.65957,8.76316,16.13979,25.02556,33.61507,42.02159,49.1859,57.62905,68.78897
2JPZ,3,1.88521,1.95296,2.15833,1.91602,1.32082,1.07745,1.07156,1.04664,0.74687,0.70814,0.74426,1.15043,1.2963,1.11038,1.34019,1.88357,2.27879,2.80436,3.44139,4.22014,5.56679,7.31445,9.66818,12.95683,16.93499,22.03268,28.35762,35.10311,42.33552,50.12715,57.94045,65.90118,73.20525,80.01236,86.46389,92.00967,96.86571,101.25673,105.07161,108.59881,111.3905,113.44259,114.97327,115.43747,115.07951,114.45269,113.27015,111.85796,109.79688,108.3757,107.16455,106.08989,105.08795,105.15578,105.41321,106.02451,106.47807,107.36478,108.20735,109.10059,109.67593,109.74948,109.28529,108.71731,107.87882,105.21135,101.1366,96.59275,91.10908,85.51262,78.65901,72.9515,65.93182,59.00801,52.4553,45.10767,36.68586,28.4467,18.91949,11.51212,3.46926,-4.71596,-11.30184,-17.10179,-22.28505,-27.46291,-31.70773,-35.23959,-38.38645,-40.67039,-42.22282,-42.72836,-42.18196,-40.93411,-38.80643,-35.92795,-31.78529,-28.21052,-23.94649,-18.95553,-13.31609,-7.27196,-1.31142,5.79578,14.55969,23.36397,31.30205,41.2673,54.23141,64.59351,74.11361
2JSL,3,1.40885,1.35443,1.17974,0.88432,1.04206,0.89699,0.57288,0.61906,0.75465,1.06072,0.99402,0.96059,1.05411,1.26013,1.10068,0.92988,0.98072,1.5753,2.03895,2.82322,4.0772,5.84802,8.342,11.57041,15.67156,20.71386,26.54766,33.51984,41.33241,49.65482,58.02948,66.67662,75.14635,83.31195,90.58865,96.67355,101.84032,106.21955,109.94186,112.61154,114.75101,116.20324,117.238,118.18801,118.08539,116.77621,114.92516,112.27492,109.91388,107.47354,104.37861,102.45526,101.07689,100.10899,99.87421,98.81303,98.64744,98.22763,97.1439,96.06561,94.54186,93.50011,93.11528,91.08232,89.37276,86.62612,83.6789,79.56865,74.79153,69.35827,63.80224,58.88037,54.00786,48.60375,43.33203,38.20165,32.38316,26.71799,20.22992,13.85752,7.72247,2.02107,-4.17648,-8.78607,-14.05631,-19.49626,-23.58264,-27.12023,-30.03798,-32.81798,-34.81363,-35.1183,-34.47467,-33.48361,-31.64865,-28.63232,-24.72996,-21.44208,-17.0801,-12.82106,-8.64465,-3.59676,2.36042,8.17563,15.97429,23.78228,31.87185,40.87871,48.92257,56.24847,63.16942
