#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/     3H       ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC        
# Alpha :   1.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Beta :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Coil :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000  


#|  Wavelength      Alpha          Beta           Coil           
#      nm        T (10^3)       T (10^3)       T (10^3)      
#   8.550     0.245     0.090      0.352     0.081      0.290     0.086      0.397     0.099 
#   8.850     0.253     0.091      0.357     0.076      0.297     0.089      0.403     0.096 
#   9.150     0.258     0.092      0.364     0.076      0.305     0.091      0.412     0.095 
#   9.450     0.263     0.096      0.372     0.074      0.313     0.091      0.418     0.093 
#   9.750     0.267     0.100      0.380     0.072      0.320     0.093      0.430     0.095 
#  10.050     0.274     0.103      0.388     0.071      0.330     0.095      0.435     0.093 
#  10.350     0.280     0.104      0.399     0.075      0.332     0.098      0.446     0.093 
#  10.650     0.284     0.109      0.411     0.080      0.339     0.102      0.453     0.091 
#  10.950     0.287     0.113      0.418     0.076      0.351     0.103      0.461     0.090 
#  11.250     0.291     0.116      0.432     0.082      0.357     0.106      0.467     0.090 
#  11.550     0.296     0.120      0.435     0.074      0.364     0.108      0.478     0.090 
#  11.850     0.297     0.126      0.442     0.077      0.372     0.111      0.484     0.088 
#  12.150     0.301     0.131      0.456     0.078      0.376     0.114      0.494     0.089 
#  12.450     0.304     0.134      0.464     0.078      0.381     0.117      0.502     0.088 
#  12.750     0.305     0.139      0.476     0.080      0.385     0.120      0.510     0.089 
#  13.050     0.311     0.142      0.479     0.076      0.393     0.123      0.519     0.087 
#  13.350     0.309     0.146      0.500     0.088      0.396     0.126      0.529     0.091 
#  13.650     0.314     0.151      0.508     0.083      0.400     0.132      0.538     0.090 
#  13.950     0.318     0.153      0.515     0.076      0.406     0.137      0.547     0.090 
#  14.250     0.309     0.157      0.527     0.079      0.411     0.139      0.553     0.089 
#  14.550     0.317     0.158      0.533     0.078      0.412     0.145      0.562     0.087 
#  14.850     0.316     0.157      0.547     0.085      0.417     0.147      0.574     0.093 
#  15.150     0.315     0.160      0.555     0.080      0.423     0.148      0.581     0.091 
#  15.450     0.311     0.166      0.577     0.083      0.424     0.151      0.594     0.095 
#  15.750     0.315     0.165      0.562     0.074      0.426     0.157      0.602     0.092 
#  16.050     0.316     0.163      0.580     0.081      0.429     0.158      0.610     0.095 
#  16.350     0.320     0.163      0.588     0.064      0.434     0.162      0.619     0.099 
#  16.650     0.321     0.169      0.599     0.073      0.434     0.169      0.626     0.093 
#  16.950     0.324     0.167      0.594     0.049      0.436     0.170      0.628     0.088 
#  17.250     0.327     0.168      0.607     0.060      0.438     0.173      0.638     0.087 
#  17.550     0.325     0.167      0.618     0.056      0.437     0.177      0.644     0.089 
#  17.850     0.325     0.164      0.633     0.051      0.435     0.177      0.650     0.085 
#  18.150     0.327     0.170      0.636     0.042      0.435     0.182      0.655     0.075 
#  18.450     0.342     0.177      0.643     0.043      0.432     0.186      0.666     0.082 
#  18.750     0.338     0.169      0.656     0.049      0.442     0.184      0.676     0.081 
#  19.050     0.334     0.175      0.671     0.046      0.448     0.186      0.679     0.066 
#  19.350     0.333     0.174      0.684     0.048      0.448     0.192      0.679     0.072 
#  19.650     0.339     0.171      0.685     0.045      0.446     0.192      0.687     0.068 
#  19.950     0.344     0.183      0.698     0.037      0.446     0.191      0.694     0.064 
#  20.250     0.334     0.178      0.700     0.025      0.444     0.196      0.713     0.063 
#  20.550     0.328     0.188      0.716     0.032      0.441     0.196      0.713     0.067 
#  20.850     0.329     0.192      0.727     0.037      0.441     0.196      0.720     0.063 
#  21.150     0.293     0.190      0.779     0.064      0.411     0.197      0.758     0.062 
