#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_simple_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3HT      HEL      BS       IRB      BT       OTT      LHT      UC        
# HELX1 :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BETA1 :    0.000    0.000    1.000    0.000    1.000    0.000    0.000    0.000  
# HELX2 :    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BETA2 :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# OTHER :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000  


#|  Wavelength      HELX1          BETA1          HELX2          BETA2          OTHER          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
#   6.450     0.243     0.082      0.300     0.103      0.277     0.095      0.320     0.102 
#   6.750     0.248     0.084      0.307     0.102      0.281     0.096      0.323     0.100 
#   7.050     0.252     0.084      0.312     0.102      0.286     0.097      0.328     0.100 
#   7.350     0.257     0.084      0.319     0.100      0.290     0.098      0.334     0.101 
#   7.650     0.263     0.087      0.326     0.100      0.294     0.098      0.338     0.099 
#   7.950     0.268     0.087      0.332     0.100      0.299     0.097      0.342     0.099 
#   8.250     0.273     0.089      0.341     0.100      0.299     0.097      0.347     0.098 
#   8.550     0.277     0.090      0.349     0.099      0.305     0.099      0.350     0.098 
#   8.850     0.284     0.091      0.355     0.101      0.308     0.099      0.356     0.099 
#   9.150     0.289     0.092      0.361     0.101      0.314     0.098      0.361     0.097 
#   9.450     0.293     0.092      0.371     0.100      0.318     0.098      0.366     0.096 
#   9.750     0.298     0.095      0.378     0.103      0.318     0.100      0.369     0.096 
#  10.050     0.302     0.096      0.382     0.105      0.321     0.099      0.378     0.097 
#  10.350     0.305     0.097      0.390     0.107      0.326     0.100      0.380     0.098 
#  10.650     0.310     0.099      0.395     0.106      0.330     0.102      0.383     0.099 
#  10.950     0.313     0.100      0.401     0.105      0.332     0.100      0.388     0.096 
#  11.250     0.320     0.101      0.404     0.105      0.336     0.100      0.396     0.097 
#  11.550     0.322     0.102      0.409     0.105      0.340     0.102      0.400     0.096 
#  11.850     0.327     0.103      0.414     0.102      0.342     0.102      0.406     0.097 
#  12.150     0.332     0.104      0.416     0.099      0.345     0.101      0.409     0.098 
#  12.450     0.335     0.105      0.422     0.097      0.345     0.103      0.414     0.099 
#  12.750     0.337     0.106      0.429     0.097      0.350     0.102      0.422     0.096 
#  13.050     0.343     0.107      0.437     0.097      0.354     0.104      0.423     0.098 
#  13.350     0.348     0.107      0.441     0.097      0.358     0.104      0.428     0.097 
#  13.650     0.352     0.109      0.447     0.096      0.357     0.103      0.431     0.099 
#  13.950     0.357     0.109      0.465     0.098      0.362     0.103      0.432     0.096 
#  14.250     0.361     0.111      0.469     0.100      0.363     0.103      0.433     0.096 
#  14.550     0.369     0.111      0.472     0.100      0.364     0.101      0.436     0.094 
#  14.850     0.367     0.111      0.474     0.102      0.368     0.104      0.445     0.093 
#  15.150     0.372     0.113      0.484     0.102      0.370     0.105      0.450     0.096 
#  15.450     0.379     0.115      0.487     0.097      0.373     0.107      0.450     0.091 
#  15.750     0.378     0.117      0.494     0.094      0.376     0.105      0.464     0.093 
#  16.050     0.384     0.118      0.504     0.094      0.375     0.107      0.470     0.095 
#  16.350     0.387     0.119      0.510     0.094      0.378     0.107      0.471     0.096 
#  16.650     0.388     0.126      0.519     0.094      0.382     0.106      0.479     0.098 
#  16.950     0.391     0.123      0.523     0.094      0.386     0.107      0.491     0.099 
#  17.250     0.392     0.125      0.529     0.097      0.387     0.108      0.501     0.099 
#  17.550     0.398     0.124      0.537     0.097      0.388     0.112      0.505     0.100 
#  17.850     0.398     0.125      0.530     0.096      0.393     0.110      0.498     0.096 
#  18.150     0.403     0.128      0.520     0.096      0.397     0.110      0.502     0.100 
#  18.450     0.404     0.129      0.529     0.097      0.394     0.112      0.499     0.088 
#  18.750     0.408     0.129      0.532     0.089      0.397     0.113      0.512     0.092 
#  19.050     0.416     0.130      0.543     0.084      0.398     0.114      0.506     0.083 
#  19.350     0.412     0.135      0.558     0.080      0.398     0.115      0.510     0.089 
#  19.650     0.416     0.134      0.576     0.084      0.405     0.112      0.519     0.085 
#  19.950     0.417     0.134      0.578     0.088      0.403     0.118      0.522     0.084 
#  20.250     0.426     0.135      0.595     0.094      0.405     0.117      0.522     0.078 
#  20.550     0.419     0.140      0.600     0.088      0.410     0.117      0.538     0.075 
#  20.850     0.424     0.137      0.599     0.094      0.406     0.118      0.556     0.086 
#  21.150     0.418     0.164      0.642     0.093      0.416     0.132      0.594     0.098 
