#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3H       ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC  
# Helix1 :   0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Beta1 :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Helix2 :   1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Turn1 :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# Turn2 :    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    1.000    1.000    0.000    1.000    1.000    0.000  
# Other :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      Helix1         Beta1          Helix2         Turn1          Turn2          Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
#   1.350     0.141     0.064      0.165     0.072      0.147     0.075      0.181     0.084 
#   1.650     0.152     0.069      0.180     0.077      0.162     0.077      0.199     0.083 
#   1.950     0.162     0.069      0.193     0.079      0.180     0.077      0.216     0.084 
#   2.250     0.171     0.071      0.204     0.081      0.195     0.081      0.232     0.084 
#   2.550     0.179     0.073      0.214     0.085      0.206     0.080      0.245     0.086 
#   2.850     0.186     0.075      0.222     0.088      0.214     0.081      0.257     0.088 
#   3.150     0.191     0.076      0.228     0.088      0.225     0.084      0.267     0.090 
#   3.450     0.196     0.078      0.234     0.090      0.236     0.086      0.276     0.091 
#   3.750     0.199     0.078      0.239     0.092      0.242     0.088      0.283     0.093 
#   4.050     0.205     0.078      0.246     0.094      0.248     0.089      0.290     0.095 
#   4.350     0.209     0.080      0.252     0.095      0.256     0.092      0.296     0.095 
#   4.650     0.213     0.081      0.257     0.098      0.260     0.091      0.301     0.095 
#   4.950     0.219     0.082      0.263     0.099      0.266     0.091      0.306     0.095 
#   5.250     0.221     0.082      0.267     0.098      0.270     0.092      0.309     0.094 
#   5.550     0.227     0.083      0.273     0.098      0.273     0.091      0.314     0.095 
#   5.850     0.229     0.083      0.277     0.097      0.278     0.092      0.320     0.094 
#   6.150     0.234     0.082      0.283     0.096      0.281     0.092      0.325     0.095 
#   6.450     0.240     0.086      0.290     0.096      0.285     0.091      0.329     0.095 
#   6.750     0.243     0.083      0.295     0.096      0.290     0.092      0.333     0.093 
#   7.050     0.249     0.085      0.303     0.095      0.293     0.091      0.337     0.092 
#   7.350     0.254     0.085      0.309     0.095      0.296     0.092      0.341     0.091 
#   7.650     0.257     0.085      0.314     0.094      0.299     0.089      0.345     0.090 
#   7.950     0.263     0.087      0.324     0.096      0.303     0.090      0.351     0.091 
#   8.250     0.268     0.088      0.331     0.095      0.307     0.089      0.356     0.090 
#   8.550     0.273     0.088      0.338     0.096      0.310     0.089      0.363     0.090 
#   8.850     0.275     0.088      0.347     0.097      0.314     0.089      0.367     0.089 
#   9.150     0.280     0.089      0.355     0.098      0.318     0.088      0.371     0.090 
#   9.450     0.285     0.089      0.359     0.096      0.320     0.089      0.376     0.089 
#   9.750     0.291     0.092      0.369     0.097      0.323     0.089      0.382     0.089 
#  10.050     0.296     0.093      0.374     0.095      0.326     0.087      0.386     0.090 
#  10.350     0.301     0.094      0.382     0.097      0.331     0.089      0.394     0.090 
#  10.650     0.308     0.095      0.391     0.098      0.333     0.088      0.399     0.090 
#  10.950     0.310     0.095      0.398     0.099      0.337     0.089      0.404     0.088 
#  11.250     0.317     0.097      0.407     0.101      0.341     0.089      0.409     0.088 
#  11.550     0.317     0.097      0.416     0.099      0.344     0.090      0.417     0.088 
#  11.850     0.322     0.100      0.420     0.098      0.347     0.090      0.424     0.090 
#  12.150     0.330     0.101      0.428     0.098      0.351     0.091      0.427     0.089 
#  12.450     0.333     0.104      0.430     0.095      0.356     0.092      0.431     0.093 
#  12.750     0.334     0.101      0.439     0.098      0.359     0.089      0.439     0.088 
#  13.050     0.337     0.106      0.444     0.098      0.361     0.091      0.445     0.086 
#  13.350     0.340     0.105      0.448     0.100      0.364     0.091      0.452     0.086 
#  13.650     0.344     0.105      0.451     0.096      0.367     0.091      0.463     0.094 
#  13.950     0.351     0.107      0.463     0.098      0.369     0.092      0.470     0.099 
#  14.250     0.348     0.108      0.467     0.100      0.370     0.092      0.470     0.096 
#  14.550     0.357     0.110      0.469     0.099      0.377     0.094      0.476     0.097 
#  14.850     0.360     0.113      0.472     0.098      0.379     0.094      0.485     0.095 
#  15.150     0.362     0.114      0.483     0.096      0.380     0.095      0.494     0.097 
#  15.450     0.367     0.116      0.488     0.093      0.385     0.095      0.491     0.097 
