#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_simple_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  3HT       HEL       BS        IRB       BT        OTT       LHT       UC        
# 3HT :    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# HEL :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BS :    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# IRB :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# BT :    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# OTT :    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000  
# LHT :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000  
# UC :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      3HT            HEL            BS             IRB            BT             OTT            LHT            UC             
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     187.0        -44.946         54.385         -16.747         -2.749         -23.554         51.143         186.398          8.311      
     186.0        -37.684         47.862         -19.313          5.931         -23.289         40.526         176.517          8.769      
     185.0        -31.274         42.215         -21.356         15.196         -24.761         30.712         168.045          7.769      
     184.0        -26.682         37.307         -23.074         23.142         -24.607         21.049         161.610          6.319      
     183.0        -23.936         33.023         -24.285         29.720         -22.890         13.152         150.305          4.361      
     182.0        -21.166         29.493         -25.549         37.141         -23.647          7.076         137.737          1.727      
     181.0        -19.320         26.659         -26.974         43.983         -26.847          1.241         130.007         -0.420      
     180.0        -17.146         24.128         -28.263         49.953         -28.224         -3.557         120.759         -2.651      
     179.0        -14.752         22.109         -28.819         53.835         -27.534         -7.692         107.977         -5.479      
     178.0        -13.710         20.447         -28.806         56.690         -29.376         -10.130         92.808         -8.221      
     177.0        -12.570         18.695         -28.483         57.381         -29.564         -11.451         71.933         -10.386      
     176.0        -9.572         16.684         -27.652         56.071         -33.126         -11.293         50.752         -12.715      
     175.0        -8.831         14.641         -27.188         56.441         -36.182         -10.593         35.428         -13.879      
