#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  		3-Helix   4-Helix   5-Helix   Bend      Beta-Bridge Beta-strand Turn      Unclassified 
# 3-Helix :    		1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# 4-Helix :    		0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# 5-Helix :    		0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# Bend    :    		0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# Beta-Bridge :   	0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# Beta-strand :   	0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000  
# Turn :    		0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000  
# Unclassified :    	0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      3-Helix        4-Helix        5-Helix        Bend           Beta-Bridge    Beta-strand    Turn           Unclassified   
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     189.0        -3.857         63.678         -125.741         24.211         126.605          9.587         -13.204         -26.126      
     188.0        -9.274         58.358         -81.861         20.221         130.797          7.555         -12.583         -22.529      
     187.0        -12.244         52.703         -59.291         15.017         131.077          5.134         -11.742         -18.813      
     186.0        -15.201         47.011         -2.118         10.596         128.666          2.826         -9.328         -16.604      
     185.0        -17.591         41.951          5.999          4.605         123.797          0.670         -8.057         -13.758      
     184.0        -18.306         37.259         57.519         -0.482         118.088         -1.586         -7.430         -11.620      
     183.0        -20.434         32.834         109.667         -5.326         111.538         -3.765         -6.011         -10.003      
     182.0        -21.605         28.865         109.723         -9.479         100.597         -6.297         -4.440         -8.145      
     181.0        -21.354         25.648         71.129         -13.026         92.473         -8.636         -4.231         -6.724      
     180.0        -20.737         22.801         36.925         -15.580         84.307         -10.761         -3.471         -6.041      
     179.0        -19.787         20.413         -3.074         -18.797         75.621         -12.590         -2.832         -5.184      
     178.0        -18.383         18.285         -36.509         -22.717         66.926         -14.018         -3.859         -3.532      
     177.0        -17.587         15.832         -81.290         -25.879         51.688         -15.764         -3.242         -1.232      
     176.0        -15.346         13.296         -121.938         -29.217         37.498         -17.333         -3.217          1.495      
     175.0        -12.888         11.024         -116.521         -29.561         33.162         -18.199         -3.321          1.528      
