#Bayesian error parameters for SS estimation (2D CD errors, no  side-chain corrections)
#|SS Dist	dim 	mean	SD		min	max	step
Uni_ND		3				0.0	1.0	0.05
&
#|SS change	dim	mean	SD		min	max	step
Gauss			0.05	0.1		0.0	0.2	0.01
&

#|SS project	X-dim		Y-dim
#SS_map		1		2
&

#|Scale Dist   dim      mean    SD   		 min     max     step
#Gauss			0.87	0.25		 0.2	 5.0	 0.2
&

#|NonSS Dist	min	max	step		min	max	step
Custom_2D	0.0	6.0	0.3		0.2	4.2	0.2
# R0_j  SF_j      P_j 
 2.250  1.300  2.413e-02 
 2.550  1.300  7.372e-03 
 2.850  1.300  1.831e-03 
 3.150  1.300  4.546e-04 
 3.450  1.300  1.263e-04 
 3.750  1.300  3.220e-05 
 4.050  1.300  6.061e-06 
 4.350  1.300  7.653e-07 
 4.650  1.300  6.284e-08 
 4.950  1.300  3.321e-09 
 5.250  1.300  1.126e-10 
 5.550  1.300  2.445e-12 
 5.850  1.300  3.400e-14 
 0.150  1.500  9.257e-05 
 0.450  1.500  4.210e-04 
 0.750  1.500  1.318e-03 
 1.050  1.500  2.882e-03 
 1.350  1.500  4.475e-03 
 1.650  1.500  5.025e-03 
 1.950  1.500  4.151e-03 
 2.250  1.500  2.586e-03 
 2.550  1.500  1.298e-03 
 2.850  1.500  6.031e-04 
 3.150  1.500  2.793e-04 
 3.450  1.500  1.124e-04 
 3.750  1.500  3.310e-05 
 4.050  1.500  6.537e-06 
 4.350  1.500  8.394e-07 
 4.650  1.500  6.937e-08 
 4.950  1.500  3.676e-09 
 5.250  1.500  1.248e-10 
 5.550  1.500  2.711e-12 
 5.850  1.500  3.770e-14 
 0.150  1.700  6.535e-07 
 0.450  1.700  3.821e-06 
 0.750  1.700  1.563e-05 
 1.050  1.700  4.473e-05 
 1.350  1.700  8.993e-05 
 1.650  1.700  1.293e-04 
 1.950  1.700  1.427e-04 
 2.250  1.700  1.449e-04 
 2.550  1.700  1.567e-04 
 2.850  1.700  1.549e-04 
 3.150  1.700  1.127e-04 
 3.450  1.700  5.477e-05 
 3.750  1.700  1.724e-05 
 4.050  1.700  3.485e-06 
 4.350  1.700  4.514e-07 
 4.650  1.700  3.743e-08 
 4.950  1.700  1.987e-09 
 5.250  1.700  6.747e-11 
 5.550  1.700  1.466e-12 
 5.850  1.700  2.040e-14 
 0.150  1.900  2.374e-09 
 0.450  1.900  1.418e-08 
 0.750  1.900  5.962e-08 
 1.050  1.900  1.850e-07 
 1.350  1.900  5.106e-07 
 1.650  1.900  1.690e-06 
 1.950  1.900  6.040e-06 
 2.250  1.900  1.675e-05 
 2.550  1.900  3.117e-05 
 2.850  1.900  3.751e-05 
 3.150  1.900  2.897e-05 
 3.450  1.900  1.433e-05 
 3.750  1.900  4.535e-06 
 4.050  1.900  9.186e-07 
 4.350  1.900  1.191e-07 
 4.650  1.900  9.876e-09 
 4.950  1.900  5.242e-10 
 5.250  1.900  1.780e-11 
 5.550  1.900  3.870e-13 
 5.850  1.900  5.382e-15 
 0.150  2.100  9.911e-13 
 0.450  2.100  9.321e-12 
 0.750  2.100  1.312e-10 
 1.050  2.100  1.981e-09 
 1.350  2.100  2.170e-08 
 1.650  2.100  1.556e-07 
 1.950  2.100  7.168e-07 
 2.250  2.100  2.114e-06 
 2.550  2.100  3.991e-06 
 2.850  2.100  4.821e-06 
 3.150  2.100  3.727e-06 
 3.450  2.100  1.844e-06 
 3.750  2.100  5.836e-07 
 4.050  2.100  1.182e-07 
 4.350  2.100  1.532e-08 
 4.650  2.100  1.271e-09 
 4.950  2.100  6.745e-11 
 5.250  2.100  2.291e-12 
 5.550  2.100  4.980e-14 
 5.850  2.100  6.926e-16 
 0.150  2.300  5.819e-15 
 0.450  2.300  2.488e-13 
 0.750  2.300  6.836e-12 
 1.050  2.300  1.203e-10 
 1.350  2.300  1.354e-09 
 1.650  2.300  9.753e-09 
 1.950  2.300  4.497e-08 
 2.250  2.300  1.327e-07 
 2.550  2.300  2.504e-07 
 2.850  2.300  3.025e-07 
 3.150  2.300  2.339e-07 
 3.450  2.300  1.157e-07 
 3.750  2.300  3.662e-08 
 4.050  2.300  7.417e-09 
 4.350  2.300  9.614e-10 
 4.650  2.300  7.975e-11 
 4.950  2.300  4.233e-12 
 5.250  2.300  1.438e-13 
 5.550  2.300  3.125e-15 
 5.850  2.300  4.346e-17 
 0.150  2.500  1.770e-16 
 0.450  2.500  7.607e-15 
 0.750  2.500  2.091e-13 
 1.050  2.500  3.680e-12 
 1.350  2.500  4.143e-11 
 1.650  2.500  2.984e-10 
 1.950  2.500  1.376e-09 
 2.250  2.500  4.059e-09 
 2.550  2.500  7.663e-09 
 2.850  2.500  9.257e-09 
 3.150  2.500  7.156e-09 
 3.450  2.500  3.540e-09 
 3.750  2.500  1.120e-09 
 4.050  2.500  2.270e-10 
 4.350  2.500  2.942e-11 
 4.650  2.500  2.440e-12 
 4.950  2.500  1.295e-13 
 5.250  2.500  4.399e-15 
 5.550  2.500  9.561e-17 
 5.850  2.500  1.330e-18 
 0.150  2.700  2.642e-18 
 0.450  2.700  1.135e-16 
 0.750  2.700  3.121e-15 
 1.050  2.700  5.490e-14 
 1.350  2.700  6.181e-13 
 1.650  2.700  4.453e-12 
 1.950  2.700  2.053e-11 
 2.250  2.700  6.057e-11 
 2.550  2.700  1.143e-10 
 2.850  2.700  1.381e-10 
 3.150  2.700  1.068e-10 
 3.450  2.700  5.282e-11 
 3.750  2.700  1.672e-11 
 4.050  2.700  3.387e-12 
 4.350  2.700  4.390e-13 
 4.650  2.700  3.641e-14 
 4.950  2.700  1.933e-15 
 5.250  2.700  6.564e-17 
