#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3H      ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC        
# HEL1 :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    1.000    0.000  
# HEL2 :    0.000    0.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BST1 :    1.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BST2 :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# TRN1 :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000    0.000    0.000  
# COIL :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      HEL1           HEL2           BST1           BST2           TRN1           COIL           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
#  10.350     0.292     0.094      0.379     0.109      0.323     0.099      0.373     0.103 
#  10.650     0.297     0.095      0.382     0.108      0.327     0.099      0.375     0.102 
#  10.950     0.302     0.095      0.389     0.109      0.328     0.099      0.377     0.102 
#  11.250     0.303     0.093      0.395     0.108      0.330     0.099      0.380     0.105 
#  11.550     0.309     0.097      0.398     0.105      0.333     0.101      0.380     0.104 
#  11.850     0.311     0.097      0.406     0.109      0.336     0.101      0.384     0.103 
#  12.150     0.316     0.098      0.407     0.107      0.338     0.100      0.388     0.102 
#  12.450     0.320     0.099      0.412     0.111      0.338     0.101      0.389     0.101 
#  12.750     0.323     0.101      0.415     0.108      0.338     0.099      0.392     0.102 
#  13.050     0.327     0.100      0.420     0.104      0.345     0.102      0.395     0.104 
#  13.350     0.332     0.101      0.423     0.104      0.345     0.101      0.393     0.104 
#  13.650     0.337     0.103      0.422     0.101      0.347     0.100      0.395     0.104 
#  13.950     0.338     0.104      0.430     0.104      0.349     0.100      0.395     0.102 
#  14.250     0.342     0.107      0.435     0.100      0.351     0.100      0.402     0.104 
#  14.550     0.347     0.105      0.436     0.100      0.355     0.102      0.400     0.099 
#  14.850     0.351     0.107      0.438     0.100      0.354     0.100      0.401     0.102 
#  15.150     0.351     0.109      0.446     0.100      0.355     0.101      0.408     0.099 
#  15.450     0.353     0.110      0.443     0.095      0.359     0.100      0.413     0.101 
#  15.750     0.361     0.113      0.454     0.095      0.362     0.100      0.414     0.099 
#  16.050     0.366     0.112      0.459     0.094      0.361     0.102      0.425     0.102 
#  16.350     0.365     0.117      0.467     0.093      0.368     0.101      0.430     0.099 
#  16.650     0.367     0.116      0.476     0.093      0.366     0.102      0.426     0.101 
#  16.950     0.369     0.118      0.478     0.087      0.366     0.100      0.432     0.105 
#  17.250     0.372     0.121      0.478     0.092      0.371     0.103      0.435     0.101 
#  17.550     0.374     0.121      0.485     0.088      0.372     0.101      0.436     0.098 
#  17.850     0.376     0.124      0.498     0.093      0.372     0.101      0.437     0.100 
#  18.150     0.377     0.127      0.498     0.089      0.373     0.103      0.438     0.094 
#  18.450     0.383     0.127      0.510     0.089      0.379     0.102      0.439     0.100 
#  18.750     0.383     0.129      0.513     0.090      0.376     0.104      0.444     0.097 
#  19.050     0.389     0.131      0.531     0.086      0.379     0.103      0.444     0.096 
#  19.350     0.387     0.132      0.531     0.082      0.384     0.105      0.449     0.096 
#  19.650     0.385     0.133      0.542     0.082      0.386     0.105      0.451     0.096 
#  19.950     0.395     0.136      0.538     0.091      0.385     0.102      0.461     0.094 
#  20.250     0.400     0.140      0.544     0.086      0.389     0.106      0.460     0.093 
#  20.550     0.394     0.140      0.555     0.083      0.390     0.104      0.458     0.096 
#  20.850     0.400     0.144      0.551     0.090      0.391     0.107      0.454     0.094 
#  21.150     0.412     0.161      0.613     0.095      0.406     0.120      0.501     0.098 
