#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/Ar-2/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/HB_ext_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/        4H        3H        5H        TU        UNC       LHP       NBP       RHP       LHA       NBA       RHA       
# Helix_reg :  1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Helix_irr :  0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Beta_all :   0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
# Turn :       0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Other :      0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      Helix_reg      Helix_irr      Beta_all       Turn           Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
#  12.450     0.363     0.147      0.602     0.081      0.360     0.137      0.587     0.107 
#  12.750     0.368     0.149      0.598     0.081      0.357     0.135      0.591     0.099 
#  13.050     0.361     0.151      0.619     0.087      0.353     0.135      0.607     0.100 
#  13.350     0.373     0.153      0.628     0.089      0.356     0.133      0.593     0.093 
#  13.650     0.367     0.155      0.628     0.083      0.347     0.132      0.613     0.103 
#  13.950     0.365     0.157      0.639     0.086      0.347     0.136      0.617     0.100 
#  14.250     0.365     0.161      0.642     0.082      0.346     0.130      0.612     0.108 
#  14.550     0.371     0.159      0.642     0.072      0.341     0.133      0.629     0.107 
#  14.850     0.367     0.160      0.657     0.079      0.341     0.129      0.647     0.081 
#  15.150     0.366     0.167      0.668     0.074      0.341     0.132      0.692     0.098 
#  15.450     0.366     0.166      0.688     0.076      0.341     0.132      0.675     0.072 
#  15.750     0.360     0.164      0.691     0.074      0.347     0.137      0.718     0.079 
#  16.050     0.356     0.166      0.700     0.065      0.342     0.139      0.685     0.070 
#  16.350     0.353     0.167      0.733     0.071      0.345     0.135      0.719     0.063 
#  16.650     0.347     0.163      0.722     0.066      0.351     0.138      0.730     0.079 
#  16.950     0.348     0.164      0.741     0.061      0.355     0.140      0.673     0.049 
#  17.250     0.350     0.170      0.753     0.072      0.347     0.135      0.736     0.069 
#  17.550     0.342     0.169      0.734     0.074      0.350     0.134      0.786     0.047 
#  17.850     0.341     0.168      0.734     0.055      0.344     0.133      0.691     0.068 
#  18.150     0.342     0.166      0.753     0.058      0.347     0.138      0.713     0.019 
#  18.450     0.338     0.166      0.746     0.059      0.351     0.137      0.722     0.051 
#  18.750     0.333     0.165      0.747     0.055      0.355     0.142      0.766     0.001 
#  19.050     0.332     0.166      0.776     0.052      0.357     0.138      0.756     0.068 
#  19.350     0.331     0.168      0.765     0.044      0.352     0.139      0.706     0.035 
#  19.650     0.330     0.167      0.766     0.055      0.364     0.139      0.714     0.030 
#  19.950     0.324     0.165      0.769     0.045      0.359     0.136      0.722     0.025 
#  20.250     0.327     0.169      0.800     0.043      0.362     0.139      0.756     0.005 
#  20.550     0.323     0.168      0.792     0.025      0.373     0.139      0.799     0.054 
#  20.850     0.318     0.164      0.805     0.039      0.372     0.143      0.750     0.145 
#  21.150     0.316     0.149      0.821     0.132      0.344     0.136      0.690     0.235 
