Time (µs), carbonic anhydrase A1 12:02:17 , carbonic anhydrase A2 12:05:51 , carbonic anhydrase A3 12:09:27 , carbonic anhydrase A4 12:13:00 , carbonic anhydrase A5 12:16:37 , carbonic anhydrase A1 12:20:14 , carbonic anhydrase A2 12:23:51 , carbonic anhydrase A3 12:27:25 , carbonic anhydrase A4 12:30:59 , carbonic anhydrase A5 12:34:33 , carbonic anhydrase A1 12:38:11 , carbonic anhydrase A2 12:41:47 , carbonic anhydrase A3 12:45:33 , carbonic anhydrase A4 12:49:12 , carbonic anhydrase A5 12:52:45 , carbonic anhydrase A1 12:56:24 , carbonic anhydrase A2 12:59:57 , carbonic anhydrase A3 13:03:36 , carbonic anhydrase A4 13:07:13 , carbonic anhydrase A5 13:10:48 , carbonic anhydrase A1 13:14:26 , carbonic anhydrase A2 13:18:21 , carbonic anhydrase A3 13:22:03 , carbonic anhydrase A4 13:25:48 , carbonic anhydrase A5 13:29:27 ,
9.6,1.0617,1.0643,1.06051,1.04965,1.07853,1.06777,1.06467,1.06066,1.04924,1.07492,1.06664,1.06736,1.0594,1.0483,1.07526,1.06705,1.06494,1.06413,1.04813,1.07512,1.06244,1.06334,1.06608,1.051,1.07235,
10,1.06021,1.06276,1.05906,1.04839,1.07658,1.06608,1.06308,1.05917,1.04807,1.07311,1.06496,1.06585,1.05788,1.04713,1.0735,1.06535,1.06346,1.06251,1.04698,1.07331,1.0608,1.06187,1.06451,1.04984,1.07054,
10.4,1.05871,1.0613,1.05755,1.04723,1.07475,1.06454,1.06163,1.05776,1.04693,1.07128,1.06338,1.06427,1.05637,1.04598,1.0717,1.06384,1.06191,1.06094,1.04581,1.07155,1.05923,1.06033,1.06294,1.0487,1.06881,
10.8,1.05716,1.05984,1.05624,1.0461,1.07294,1.06302,1.0602,1.05642,1.04576,1.06954,1.06188,1.06282,1.055,1.04487,1.07013,1.06227,1.06051,1.05942,1.04473,1.06981,1.05778,1.05898,1.06136,1.04756,1.06703,
11.2,1.05579,1.05844,1.05491,1.04489,1.07116,1.06142,1.05874,1.05504,1.04475,1.06773,1.06042,1.06142,1.05354,1.04381,1.06842,1.06079,1.05913,1.058,1.04363,1.06812,1.05627,1.05766,1.05992,1.04647,1.06543,
11.6,1.05438,1.05706,1.05357,1.04384,1.06944,1.05996,1.05735,1.05373,1.04363,1.06611,1.05892,1.05999,1.05219,1.04275,1.06689,1.05931,1.0577,1.05655,1.04259,1.06653,1.05493,1.0563,1.05842,1.04541,1.06385,
12,1.05309,1.05571,1.05235,1.04276,1.0678,1.05858,1.056,1.05249,1.04261,1.06447,1.05746,1.05859,1.05086,1.04172,1.0653,1.0579,1.05638,1.05517,1.04156,1.06488,1.05345,1.05498,1.05702,1.04436,1.06227,
12.4,1.05179,1.05444,1.0511,1.04168,1.06618,1.05714,1.05471,1.05121,1.04163,1.06293,1.05602,1.05737,1.04964,1.0407,1.06384,1.05649,1.05517,1.05383,1.04061,1.06333,1.05217,1.05373,1.05568,1.04338,1.06073,
12.8,1.05053,1.05318,1.04987,1.04077,1.06458,1.05585,1.05346,1.05002,1.04068,1.06134,1.05473,1.05605,1.04833,1.03983,1.0624,1.05515,1.05384,1.05253,1.0396,1.0619,1.05082,1.05247,1.05437,1.04242,1.05925,
13.6,1.04811,1.05079,1.04759,1.03876,1.06152,1.05328,1.051,1.0477,1.03874,1.05836,1.05212,1.05356,1.04594,1.03793,1.05956,1.05256,1.05149,1.05004,1.03774,1.05904,1.04829,1.05015,1.05181,1.0405,1.0564,
