#Bayesian error parameters for SS estimation (2D CD errors, no  side-chain corrections)
#Example parameter file designed for the basis set DS-dT, with an SS prior based on the reference SP175 set:

#|SS Dist	dim 	mean	SD		min	max	step
Custom_ND	3				0.0	1.0	0.1
Custom_ND	3				0.0	1.0	0.1
Custom_ND	3				0.0	1.0	0.1
#
# Helix  Beta  Other   P(SS)  
 4.650  1.700  3.743e-08 
 4.950  1.700  1.987e-09 
 5.250  1.700  6.747e-11 
 5.550  1.700  1.466e-12 
 5.850  1.700  2.040e-14 
 0.150  1.900  2.374e-09 
 0.450  1.900  1.418e-08 
 0.750  1.900  5.962e-08 
 1.050  1.900  1.850e-07 
 1.350  1.900  5.106e-07 
 1.650  1.900  1.690e-06 
 1.950  1.900  6.040e-06 
 2.250  1.900  1.675e-05 
 2.550  1.900  3.117e-05 
 2.850  1.900  3.751e-05 
 3.150  1.900  2.897e-05 
 3.450  1.900  1.433e-05 
 3.750  1.900  4.535e-06 
 4.050  1.900  9.186e-07 
 4.350  1.900  1.191e-07 
 4.650  1.900  9.876e-09 
 4.950  1.900  5.242e-10 
 5.250  1.900  1.780e-11 
 5.550  1.900  3.870e-13 
 5.850  1.900  5.382e-15 
 0.150  2.100  9.911e-13 
 0.450  2.100  9.321e-12 
 0.750  2.100  1.312e-10 
 1.050  2.100  1.981e-09 
 1.350  2.100  2.170e-08 
 1.650  2.100  1.556e-07 
 1.950  2.100  7.168e-07 
 2.250  2.100  2.114e-06 
 2.550  2.100  3.991e-06 
 2.850  2.100  4.821e-06 
 3.150  2.100  3.727e-06 
 3.450  2.100  1.844e-06 
 3.750  2.100  5.836e-07 
 4.050  2.100  1.182e-07 
 4.350  2.100  1.532e-08 
 4.650  2.100  1.271e-09 
 4.950  2.100  6.745e-11 
 5.250  2.100  2.291e-12 
 5.550  2.100  4.980e-14 
 5.850  2.100  6.926e-16 
 0.150  2.300  5.819e-15 
 0.450  2.300  2.488e-13 
 0.750  2.300  6.836e-12 
 1.050  2.300  1.203e-10 
 1.350  2.300  1.354e-09 
 1.650  2.300  9.753e-09 
 1.950  2.300  4.497e-08 
 2.250  2.300  1.327e-07 
 2.550  2.300  2.504e-07 
 2.850  2.300  3.025e-07 
 3.150  2.300  2.339e-07 
 3.450  2.300  1.157e-07 
 3.750  2.300  3.662e-08 
 4.050  2.300  7.417e-09 
 4.350  2.300  9.614e-10 
 4.650  2.300  7.975e-11 
 4.950  2.300  4.233e-12 
 5.250  2.300  1.438e-13 
 5.550  2.300  3.125e-15 
 5.850  2.300  4.346e-17 
 0.150  2.500  1.770e-16 
 0.450  2.500  7.607e-15 
 0.750  2.500  2.091e-13 
 1.050  2.500  3.680e-12 
 1.350  2.500  4.143e-11 
 1.650  2.500  2.984e-10 
 1.950  2.500  1.376e-09 
 2.250  2.500  4.059e-09 
 2.550  2.500  7.663e-09 
 2.850  2.500  9.257e-09 
 3.150  2.500  7.156e-09 
 3.450  2.500  3.540e-09 
 3.750  2.500  1.120e-09 
 4.050  2.500  2.270e-10 
 4.350  2.500  2.942e-11 
 4.650  2.500  2.440e-12 
 4.950  2.500  1.295e-13 
 5.250  2.500  4.399e-15 
 5.550  2.500  9.561e-17 
 5.850  2.500  1.330e-18 
 0.150  2.700  2.642e-18 
 0.450  2.700  1.135e-16 
 0.750  2.700  3.121e-15 
 1.050  2.700  5.490e-14 
 1.350  2.700  6.181e-13 
 1.650  2.700  4.453e-12 
 1.950  2.700  2.053e-11 
 2.250  2.700  6.057e-11 
 2.550  2.700  1.143e-10 
 2.850  2.700  1.381e-10 
 3.150  2.700  1.068e-10 
 3.450  2.700  5.282e-11 
 3.750  2.700  1.672e-11 
 4.050  2.700  3.387e-12 
 4.350  2.700  4.390e-13 
 4.650  2.700  3.641e-14 
 4.950  2.700  1.933e-15 
 5.250  2.700  6.564e-17 
 5.550  2.700  1.427e-18 
 5.850  2.700  1.984e-20 
 0.150  2.900  1.922e-20 
 0.450  2.900  8.258e-19 
 0.750  2.900  2.271e-17 
 1.050  2.900  3.995e-16 
 1.350  2.900  4.498e-15 
 1.650  2.900  3.240e-14 
 1.950  2.900  1.494e-13 
 2.250  2.900  4.407e-13 
 2.550  2.900  8.319e-13 
 2.850  2.900  1.005e-12 
 3.150  2.900  7.769e-13 
 3.450  2.900  3.843e-13 
 3.750  2.900  1.216e-13 
 4.050  2.900  2.464e-14 
 4.350  2.900  3.194e-15 
 4.650  2.900  2.649e-16 
 4.950  2.900  1.406e-17 
 5.250  2.900  4.776e-19 
 5.550  2.900  1.038e-20 
 5.850  2.900  1.444e-22 
 0.150  3.100  6.820e-23 
 0.450  3.100  2.930e-21 
 0.750  3.100  8.056e-20 
 1.050  3.100  1.417e-18 
 1.350  3.100  1.596e-17 
 1.650  3.100  1.150e-16 
 1.950  3.100  5.300e-16 
 2.250  3.100  1.564e-15 
 2.550  3.100  2.952e-15 
 2.850  3.100  3.566e-15 
 3.150  3.100  2.756e-15 
