frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
1.120000000000000000e+02,9.800000000000000000e+01,5.300000000000000000e+01,-8.998883888125419617e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.522782990761707111e+01,1.000000000000000000e+00
1.140000000000000000e+02,5.700000000000000000e+01,1.150000000000000000e+02,-2.733553759753704071e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.927456233660889495e+01,1.000000000000000000e+00
1.150000000000000000e+02,9.600000000000000000e+01,1.100000000000000000e+02,-1.385451406240463257e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.931920650267500150e+01,1.000000000000000000e+00
1.180000000000000000e+02,2.300000000000000000e+01,3.300000000000000000e+01,-3.489905502647161484e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.816009211867653050e+01,1.000000000000000000e+00
1.170000000000000000e+02,2.800000000000000000e+01,1.110000000000000000e+02,-1.464337855577468872e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.707397274136176790e+01,1.000000000000000000e+00
1.180000000000000000e+02,1.210000000000000000e+02,6.800000000000000000e+01,-4.727957770228385925e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.887739763939974580e+01,1.000000000000000000e+00
1.300000000000000000e+02,5.300000000000000000e+01,1.150000000000000000e+02,-8.215728215873241425e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.111575458527220235e+02,1.000000000000000000e+00
1.400000000000000000e+02,3.000000000000000000e+01,4.800000000000000000e+01,-1.421100050210952759e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.009975124224177989e+01,1.000000000000000000e+00
1.410000000000000000e+02,2.800000000000000000e+01,6.800000000000000000e+01,-8.496870286762714386e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.009975124224177989e+01,1.000000000000000000e+00
1.590000000000000000e+02,3.700000000000000000e+01,4.400000000000000000e+01,-1.531243324279785156e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.313608305156178346e+01,1.000000000000000000e+00
1.660000000000000000e+02,6.000000000000000000e+01,4.100000000000000000e+01,-8.691017515957355499e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.522680508593630577e+01,1.000000000000000000e+00
1.650000000000000000e+02,6.400000000000000000e+01,1.200000000000000000e+02,-4.907836206257343292e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.910120100226039597e+01,1.000000000000000000e+00
1.750000000000000000e+02,1.040000000000000000e+02,7.400000000000000000e+01,-1.007942575961351395e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.478505426185217431e+01,1.000000000000000000e+00
1.760000000000000000e+02,9.300000000000000000e+01,1.070000000000000000e+02,-1.419919282197952271e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.478505426185217431e+01,1.000000000000000000e+00
